taxon	mitochondrial-control-region	12S-ribosomal-RNA	interphotoreceptor-retinoid-binding-protein	beta-fibrinogen	tRNA-Val	protamine-P1	cytb	omega-globin	
Sminthopsis granulipes	AF088943	AF088967	JQ687047	JQ599238	JQ413959	AF089877	AF088925		
Sminthopsis froggatti	AF288578,AF288579	AF339111,AF339112							
Sminthopsis psammophila	AF088951,JN714277	AF088974	JQ687042	JQ599233	JQ413954	AF089883	AF088932		
Sminthopsis archeri	AF088937	AF088961	JQ687050	JQ599241	JQ413962	AF089872	AF088920	DQ157410	
Sminthopsis ooldea	AF088950	AF088973	JQ687045	JQ599236	JQ413957	AF089882	AF088931		
Sminthopsis dolichura	AF088940,AF059270,JN714270	AF088964	JQ687049	JQ599240	JQ413961	AF089874	AF088922	DQ157407	
Sminthopsis crassicaudata	JN714278,AF286839,AF286841	AF339108,L28087	FJ159327,EF028748	EF025056	JQ413948	L32743	M99463	AY014770	
Sminthopsis longicaudata	AF088947	AF088972	JQ687046	JQ599237	JQ413958	AF089881	AF088930		
Sminthopsis gilberti	AF088942,AF059269	AF088966,DQ157391	JQ687051	JQ599242	JQ413963	AF089876	AF088924	DQ157409,DQ157408	
Sminthopsis aitkeni	AF059267,JN714266,JN714267	AF088960	JQ687048	JQ599239	JQ413960	AF089871	AF088919		
Sminthopsis virginiae	AF288577,AF288576		JQ687038,JQ687040	JQ599229	JQ413950	AF089884			
Sminthopsis stalkeri	AF288599,AF288597,AF288598	AF339124,AF339123,AF339125							
Sminthopsis murina	AF088949,AF059268	AF001934	JQ687037	JQ599228	JQ413949	AF001585	U07594		
Sminthopsis bindi	AF088938	AF088962		JQ599231	JQ413952	AF089873	AF088921		
Sminthopsis macroura	AF088948,AF288581,AF288585	AF339116,AF339114,AF339132	JQ687039	JQ599230	JQ413951	AF001586	AF001582	DQ157412	
Sminthopsis youngsoni	AF088955	AF088978	JQ687044	JQ599235	JQ413956	AF089885	AF088935		
Sminthopsis griseoventer	JN714259,AF059266,JN714263	AF088968	JQ687052	JQ599243	JQ413964	AF089878	AF088926	DQ157413	
Sminthopsis butleri	DQ157399	DQ157392	JQ687054	JQ599245	JQ413966			DQ157411	
Sminthopsis hirtipes	AF088944	AF088969	JQ687053	JQ599244	JQ413965	AF089879	AF088927		
Sminthopsis douglasi	AF088941	AF088965	JQ687041	JQ599232	JQ413953	AF089875	AF088923		
Sminthopsis leucopus	DQ157398	DQ157390	JQ687043	JQ599234	JQ413955	AF089880		DQ157406	
