taxon	cytochrome-b	12S-ribosomal-RNA	tRNA-Val	epsilon-globin	
Myoictis leucura	AY609365,AY609366,AY609369	AY609359,AY609355,AY609357	AY609373	AY609377	
Myoictis melas	AY609364,AY609363,U07584	AY609354,AY609353,AF009886	AY528913,AY609372,AY609371	AY609375,AY609376	
Myoictis wallacei	AY609368,AF010265	AF009887,AY609358	AY528914	AY609378	
Myoictis wavicus	AY609362,AY609361,AY609360	AY609351,AY609352,AY609350	AY609370	AY609374	
