taxon	unknown	cytochrome-b	cox1	GBA	actin	PKDREJ	alpha-lactalbumin	16S-ribosomal-RNA	CHRNA1	12S-ribosomal-RNA	
Delphinus delphis	GQ504118,FM211549,EF682597	U02666,AF084085,U02671	JF442782,EU496363,EU139278	EU121021	HQ699816,EU121206,EF092992	JF504976,FJ490578	AF304089,EU121182,EU697402	U13106,AB481388,EU685096	JX206017,JX205986,JX205997	U13083,EU685091	
Stenella frontalis	EF682804,EF682667,EF682785	EU121092,AF084089,EU517713	EU496354,EU496349,EF568714	EU121022	EU121207	FJ490586	KC204743,KC204748,KC204746	JF504720	EU121136	JF504710	
Tursiops australis	JN571464,JN571467,JN571481	JN571477,JN571476,JN571475									
Orcinus orca	M60409,DQ399076,DQ399081	AF084061,X92528,EU121106	EU139289,EU496323	EU121036	EF092972,EU121221	JF504998	EU697399,EU121197	AF334505,AB481399,EU685093	EU121149	EU685088	
Grampus griseus	AB018584,DQ668044,AM498741	AF084059,AF084058	EU496297,EU496298	EU121035,HQ585468	EU121220	JF504995	EU121196	AB481395	EU121148	AB018582	
Orcaella brevirostris	JQ814472,GQ507773,GQ507774	X92527,GQ507781,EU121104		EU121034	EU121219		EU121195	JF504728	EU121147	JF504718	
Lagenodelphis hosei	DQ845439,EU121119,DQ845438	EU121096,AF084099,EU121095	EU496355	EU121025,EU121026	EU121211	FJ490582,JF504984	EU121186,EU121187	AB481402,JF504721	EU121139	JF504711	
Tursiops aduncus	HQ436293,EF636211,EF636209	AF084091,AF084092	EU496330	JF504876,HQ585481		FJ490590,JF504979	JF504898		JF504824		
Cephalorhynchus heavisidii	AF390983,AF390968,AF393569	EF093013,AF084070,EF093012			EF092974,EF092973						
Sotalia fluviatilis	EF027082,EF027083,EF027080	DQ086828,EF027039,EF027040	EU496374	EF027024	EF027042	JF504985,FJ490587	EF027010,AF304091	AF304061		AF304055	
Delphinus capensis	HE680171,HE680197,HE680199	AF084087,KC297756,KC297715	EU496373,EU496370,EU496372	JF504875,HQ585467		JF504977,FJ490577	JF504900		JX205968,JX205972,JX206021		
Peponocephala electra	AY046904,DQ845434,EU121126	AF084053,EU580087,EU121102	EU496293,EU496291	EU121033,EU121032	EU121218,EU121217	JF504997	EU121194	JF504727	EU121146	JF504717	
Globicephala macrorhynchus	FJ513339,AY168599,FJ513329	AF084054,U20925,U20924	EU496302	GQ352991,EU121030		JF504994	EU121191	JF504726	GQ407770,EU121143	JF504716	
Pseudorca crassidens	DQ845436,EF601199,DQ145024	EU517710,AF084057,EU517709	EU496319,EU496320	JF504885	JF504734	JF504996	EU697400	AB481400,EU685094,AF334506	JF504833	EU685089,AF334523	
Cephalorhynchus eutropia	EU121123,AF393550,AF393551	AF084072,U13128,EU121099		EU121029	EU121214		EU121190,AF304088	Z18635,U13105	EU121142	Z18634	
Stenella attenuata	GQ852572,GQ852569,GQ852574	X56294,X92525,AF084097	EU496353,EU496336,EU496337	JF504878,HQ585469	EF092990	JF504982,FJ490584	JF504899		JF504826		
Sotalia guianensis	EU022538,EU022531,EF027072	EF027037,EF488221,EF027036		EF027025	EF027041		EF027011				
Sousa teuszii	EU380409										
Steno bredanensis	DQ145055,AY842471,DQ845437	AF084076,EF027032,GQ253567	EU496375,DQ922633	EU121037	EF027044,EU121222	JF504986	EU121198,EU697401	EU685095,DQ839319	EU121150	EU685090	
Cephalorhynchus commersonii	AF393542,HM368547,HM368539	EF093023,EU121098		EU121028	EU121213,EF092984	JF504993	EU121189	JF504725	EU121141	JF504715	
Globicephala melas	FJ513349,FJ513342,EU121125	U20929,AF084056,U13132	EU496306	EU121031		FJ490580	EU121192	Z18641	GQ407769,EU121144	U13086,Z18640	
Stenella coeruleoalba	AM498694,AM498675,AM498708	AF084082,DQ466023,AF084081	EF090643,EF090640,EU496341	JF504877,HQ585471	JF504732	JF504981,FJ490585	EU697403	EU685097	JF504825	AB018586,EU685092	
Sousa chinensis	HQ221872,HQ221880,HQ221877		EU496345,DQ922632	HQ585476,EF027026	EF027043	JF504983,FJ490589	EF027008	AF334507	EF027058		
Stenella longirostris	EF438306,DQ845444,GQ504165	AF084103,DQ270183,DQ232772	EU496331,EU496333,EU496332	EU121023	EU121208	JF504980,FJ490588	EU121184	JF504719	EU121137	JF504709	
Stenella clymene	DQ845447,GQ504138,GQ504140	EU517712,AF084083,EU517711	EU496347,EU496346,EU496348								
Lissodelphis peronii	AF393535,EF092938,DQ145057	U13138,EF093024						Z18665		Z18664	
Cephalorhynchus hectori	L35613,AF057996,AF057995	EF093033,AF084071		GQ408880,GQ352990	EF092994,EF092993						
Lissodelphis borealis	EF092941,EF092939,EF092942	EF093026,EF093028,EF093025	EU139284	JF504879	EF092986,EF092985,EF092987	JF504987	JF504897		JF504828		
Feresa attenuata	DQ845435	AF084052,EU580084	EU496290	JF504884	JF504733	JF504992	JF504895	JF504724	JF504827	JF504714	
Tursiops truncatus		AF084093,DQ466026,AF084094	DQ922631,DQ466010,DQ466014	EU121024,HQ585480	EU121209,JQ002796,EF092989	FJ490591,JF504978		AB481403,Z18663,DQ839318	EU121138,JQ002740,JQ002736	U13100,AB018585,AY770530	
Delphinus tropicalis		JX264570,AF084088,JX264573				FJ490579					
