it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4
0	-97220.724936372091	-243.31092665054544	-85527.280927193933	-11450.133082527609	0.32413667026824255	0.32413667026824255	0.32413667026824255	0.32413667026824255	0.32413667026824255
10000	-68994.00041147595	-202.25422060400058	-59549.607303521479	-9242.1388873504766	0.23357418304332142	0.23203803283505831	0.47983562232174781	0.3715436608056264	0.36543361723189455
20000	-59603.827342632205	-204.32991191702652	-50258.927620372604	-9140.5698103425748	0.09694725202837684	0.18077662009221621	0.47549872193558601	0.31744664601367911	0.28664726308959138
30000	-56367.491156948701	-263.58294704732299	-47038.688374062614	-9065.2198358387614	0.082196037805490771	0.13073087549764331	0.21368752641367031	0.72457123839058146	0.37178909885867656
40000	-55021.934257075125	-443.44883450394678	-45569.342497498379	-9009.1429250727961	0.052384503298352085	0.17186124648174506	0.13798095668234783	0.43490662941167968	0.44218979314428225
50000	-54709.891646911245	-567.94669525676682	-45171.351687660615	-8970.5932639938619	0.053028167357900641	0.17233686148554775	0.16303681808946163	0.49281321614922036	0.46922423432942778
60000	-54662.650775192364	-605.60734574534956	-45099.00556792695	-8958.0378615200607	0.053915163038989355	0.12903179240105858	0.18203975043375142	0.46009825416113537	0.66479674785816745
70000	-54460.180192119478	-606.85740977051125	-44911.947245116215	-8941.3755372327505	0.043131979849473548	0.11448927450024764	0.19279384134701233	0.45838086143090745	0.61161246322421681
80000	-54433.996176401	-605.54677055347804	-44887.781244236248	-8940.6681616112764	0.053255968754420936	0.14116202101220565	0.16139203642246605	0.42638751765067884	0.44864401433862022
90000	-54294.805434206486	-631.7380994189981	-44741.198164325877	-8921.869170461614	0.057785762404011787	0.15175731599592365	0.10929965523599867	0.34947535267734448	0.54058170511110804
100000	-54146.500346127832	-616.99081307591325	-44635.31772580184	-8894.1918072500775	0.097274494916913035	0.15576300482317992	0.11626351260307576	0.23492902177643973	0.4848013654993068
110000	-54087.623228616096	-611.03178468179192	-44604.464589018113	-8872.1268549161905	0.11102773678256461	0.15707015096366767	0.10855443751908517	0.24375355586315667	0.42848332766560898
120000	-54094.627630941322	-608.33099062493557	-44602.811690592513	-8883.4849497238756	0.1027726793198024	0.12086491978719933	0.1268930176305359	0.18790215225450768	0.53382016098387397
130000	-54047.161999561744	-612.77537097457855	-44558.025278950678	-8876.3613496364851	0.16694748337178034	0.08227401670746147	0.099999947199420611	0.13709807781209149	0.46168566283013601
140000	-54019.607264645165	-586.95577074180142	-44574.60159302532	-8858.0499008780462	0.15060040913484277	0.073382349963911714	0.10522258426130747	0.13420967129578223	0.36632937599085236
150000	-53973.276444429852	-593.23037218182969	-44519.588970873483	-8860.4571013745372	0.15268993963507546	0.073215193233394149	0.11818109107041883	0.11948971834414335	0.25563911596833971
160000	-53923.967267751228	-610.91252977363933	-44469.143508847541	-8843.911229130048	0.090099825275589587	0.086029415686649707	0.13770642860467311	0.084994912836674708	0.26102745958929607
170000	-53959.267501916744	-589.60714167395452	-44516.9634688441	-8852.6968913986857	0.068402831738070241	0.07017426995238453	0.12680740793613762	0.081021112669206252	0.39176991803793781
180000	-53963.373423053948	-620.18664220908909	-44485.202178732419	-8857.9846021124395	0.059295488856439892	0.055722310194954404	0.13370223428847258	0.063174065334525062	0.32943836256753484
190000	-53947.383057322295	-605.44199560807363	-44489.956649891988	-8851.9844118222318	0.061090353837930191	0.067574815060306617	0.10915714663130929	0.043151720635307644	0.36166475917468771
200000	-53996.77508326494	-605.89964582040398	-44520.587379951954	-8870.2880574925803	0.051976153071003221	0.071858403283103042	0.12501723975460277	0.043859574955068426	0.462900131778886
210000	-53985.493422975807	-592.15986036397283	-44537.838173245364	-8855.4953893664715	0.043830549934498891	0.093578406925317159	0.15901514036389697	0.043406421189026941	0.36293747185564768
