it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	l_43	l_44	l_45	l_46	l_47	l_48	l_49	l_50	l_51	l_52	l_53	l_54	l_55	l_56	l_57	l_58	l_59	l_60	l_61	l_62	l_63	l_64	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	m_43	m_44	m_45	m_46	m_47	m_48	m_49	m_50	m_51	m_52	m_53	m_54	m_55	m_56	m_57	m_58	m_59	m_60	m_61	m_62	m_63	m_64	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49	r_50	r_51	r_52	r_53	r_54	r_55	r_56	r_57	r_58	r_59	r_60	r_61	r_62	r_63	r_64	
0	0.7034557211250908	0.7034557211250908	0.7034557211250908	0.31938265424928575	0.31938265424928575	0.31938265424928575	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.37856553270494531	0.13832816317613783	0.13832816317613783	0.13832816317613783	0.13832816317613783	0.13832816317613783	0.13832816317613783	0.13832816317613783	0.13832816317613783	0.13832816317613783	0.13832816317613783	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.14510105306675239	0.79429814427484524	0.79429814427484524	0.79429814427484524	0.79429814427484524	0.79429814427484524	0.79429814427484524	0.79429814427484524	0.79429814427484524	0.25421050336661932	0.25421050336661932	0.25421050336661932	0.55163784620458445	0.55163784620458445	0.55163784620458445	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.23008902767490214	0.19726220072165321	0.19726220072165321	0.19726220072165321	0.19726220072165321	0.19726220072165321	0.19726220072165321	0.19726220072165321	0.19726220072165321	0.19726220072165321	0.19726220072165321	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.28144901558087898	0.2283866509060154	0.2283866509060154	0.2283866509060154	0.2283866509060154	0.2283866509060154	0.2283866509060154	0.2283866509060154	0.2283866509060154	0.44924521775847148	0.44924521775847148	0.44924521775847148	-0.2322551919552987	-0.2322551919552987	-0.2322551919552987	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	0.14847650503004317	-0.058934037545515378	-0.058934037545515378	-0.058934037545515378	-0.058934037545515378	-0.058934037545515378	-0.058934037545515378	-0.058934037545515378	-0.058934037545515378	-0.058934037545515378	-0.058934037545515378	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	-0.13634796251412659	0.56591149336882984	0.56591149336882984	0.56591149336882984	0.56591149336882984	0.56591149336882984	0.56591149336882984	0.56591149336882984	0.56591149336882984
10000	0.49044437653840467	0.49044437653840467	0.49044437653840467	0.4553869283586966	0.4553869283586966	0.4553869283586966	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.27116845721900473	0.29747800556447074	0.29747800556447074	0.29747800556447074	0.29747800556447074	0.29747800556447074	0.29747800556447074	0.29747800556447074	0.29747800556447074	0.29747800556447074	0.29747800556447074	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.28047110306282608	0.42790359652681126	0.42790359652681126	0.42790359652681126	0.42790359652681126	0.42790359652681126	0.42790359652681126	0.42790359652681126	0.42790359652681126	0.53580232062170463	0.53580232062170463	0.53580232062170463	0.33649859833966994	0.33649859833966994	0.33649859833966994	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.25839241545924013	0.19876533940553609	0.19876533940553609	0.19876533940553609	0.19876533940553609	0.19876533940553609	0.19876533940553609	0.19876533940553609	0.19876533940553609	0.19876533940553609	0.19876533940553609	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.15364975148241294	0.29337747714773921	0.29337747714773921	0.29337747714773921	0.29337747714773921	0.29337747714773921	0.29337747714773921	0.29337747714773921	0.29337747714773921	-0.045357944083299961	-0.045357944083299961	-0.045357944083299961	0.11888833001902666	0.11888833001902666	0.11888833001902666	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.0127760417597646	0.098712666158934648	0.098712666158934648	0.098712666158934648	0.098712666158934648	0.098712666158934648	0.098712666158934648	0.098712666158934648	0.098712666158934648	0.098712666158934648	0.098712666158934648	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.12682135158041313	0.13452611937907205	0.13452611937907205	0.13452611937907205	0.13452611937907205	0.13452611937907205	0.13452611937907205	0.13452611937907205	0.13452611937907205
20000	0.49291141414319728	0.49291141414319728	0.49291141414319728	0.49112016570442379	0.49112016570442379	0.49112016570442379	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.27809687070064287	0.26296614960665671	0.26296614960665671	0.26296614960665671	0.26296614960665671	0.26296614960665671	0.26296614960665671	0.26296614960665671	0.26296614960665671	0.26296614960665671	0.26296614960665671	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.27666113970803508	0.45462695095645117	0.45462695095645117	0.45462695095645117	0.45462695095645117	0.45462695095645117	0.45462695095645117	0.45462695095645117	0.45462695095645117	0.56723709229942976	0.56723709229942976	0.56723709229942976	0.35280215466067799	0.35280215466067799	0.35280215466067799	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.23696532538195908	0.21013862179732229	0.21013862179732229	0.21013862179732229	0.21013862179732229	0.21013862179732229	0.21013862179732229	0.21013862179732229	0.21013862179732229	0.21013862179732229	0.21013862179732229	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.20502968546373598	0.24579134315058984	0.24579134315058984	0.24579134315058984	0.24579134315058984	0.24579134315058984	0.24579134315058984	0.24579134315058984	0.24579134315058984	-0.074325678156232478	-0.074325678156232478	-0.074325678156232478	0.1383180110437458	0.1383180110437458	0.1383180110437458	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.041131545318683793	0.052827527809334418	0.052827527809334418	0.052827527809334418	0.052827527809334418	0.052827527809334418	0.052827527809334418	0.052827527809334418	0.052827527809334418	0.052827527809334418	0.052827527809334418	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.071631454244299092	0.20883560780586133	0.20883560780586133	0.20883560780586133	0.20883560780586133	0.20883560780586133	0.20883560780586133	0.20883560780586133	0.20883560780586133
30000	0.51547075526967112	0.51547075526967112	0.51547075526967112	0.44900830250263235	0.44900830250263235	0.44900830250263235	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.27320210112758869	0.29221478374073928	0.29221478374073928	0.29221478374073928	0.29221478374073928	0.29221478374073928	0.29221478374073928	0.29221478374073928	0.29221478374073928	0.29221478374073928	0.29221478374073928	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.26045655735209139	0.49895650141574255	0.49895650141574255	0.49895650141574255	0.49895650141574255	0.49895650141574255	0.49895650141574255	0.49895650141574255	0.49895650141574255	0.61987173792574568	0.61987173792574568	0.61987173792574568	0.44050593032409396	0.44050593032409396	0.44050593032409396	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.25538042064123395	0.19614076858195295	0.19614076858195295	0.19614076858195295	0.19614076858195295	0.19614076858195295	0.19614076858195295	0.19614076858195295	0.19614076858195295	0.19614076858195295	0.19614076858195295	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.24636379545567511	0.23315834893806581	0.23315834893806581	0.23315834893806581	0.23315834893806581	0.23315834893806581	0.23315834893806581	0.23315834893806581	0.23315834893806581	-0.10440098265607456	-0.10440098265607456	-0.10440098265607456	0.0085023721785383866	0.0085023721785383866	0.0085023721785383866	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.017821680486354741	0.09607401515878633	0.09607401515878633	0.09607401515878633	0.09607401515878633	0.09607401515878633	0.09607401515878633	0.09607401515878633	0.09607401515878633	0.09607401515878633	0.09607401515878633	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.014092761896416284	0.26579815247767674	0.26579815247767674	0.26579815247767674	0.26579815247767674	0.26579815247767674	0.26579815247767674	0.26579815247767674	0.26579815247767674
40000	0.54288958889748862	0.54288958889748862	0.54288958889748862	0.47994070937253303	0.47994070937253303	0.47994070937253303	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.2694778158217333	0.25609721918162637	0.25609721918162637	0.25609721918162637	0.25609721918162637	0.25609721918162637	0.25609721918162637	0.25609721918162637	0.25609721918162637	0.25609721918162637	0.25609721918162637	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.2577758410257841	0.40479227721799815	0.40479227721799815	0.40479227721799815	0.40479227721799815	0.40479227721799815	0.40479227721799815	0.40479227721799815	0.40479227721799815	0.5997058569111986	0.5997058569111986	0.5997058569111986	0.41447842661802381	0.41447842661802381	0.41447842661802381	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.24706316246280879	0.17885271898237737	0.17885271898237737	0.17885271898237737	0.17885271898237737	0.17885271898237737	0.17885271898237737	0.17885271898237737	0.17885271898237737	0.17885271898237737	0.17885271898237737	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.24621268118464493	0.19917297660861874	0.19917297660861874	0.19917297660861874	0.19917297660861874	0.19917297660861874	0.19917297660861874	0.19917297660861874	0.19917297660861874	-0.056816268013709981	-0.056816268013709981	-0.056816268013709981	0.065462282754509216	0.065462282754509216	0.065462282754509216	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.022414653358924508	0.077244500199249	0.077244500199249	0.077244500199249	0.077244500199249	0.077244500199249	0.077244500199249	0.077244500199249	0.077244500199249	0.077244500199249	0.077244500199249	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.011563159841139176	0.20561930060937941	0.20561930060937941	0.20561930060937941	0.20561930060937941	0.20561930060937941	0.20561930060937941	0.20561930060937941	0.20561930060937941
50000	0.59380300988031132	0.59380300988031132	0.59380300988031132	0.45381623271500088	0.45381623271500088	0.45381623271500088	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.28312122172870724	0.25559462314006137	0.25559462314006137	0.25559462314006137	0.25559462314006137	0.25559462314006137	0.25559462314006137	0.25559462314006137	0.25559462314006137	0.25559462314006137	0.25559462314006137	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.35224857197892973	0.20702864750705155	0.20702864750705155	0.20702864750705155	0.20702864750705155	0.20702864750705155	0.20702864750705155	0.20702864750705155	0.20702864750705155	0.57651301052752857	0.57651301052752857	0.57651301052752857	0.42604817023420982	0.42604817023420982	0.42604817023420982	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.23643120093740144	0.17961210836967323	0.17961210836967323	0.17961210836967323	0.17961210836967323	0.17961210836967323	0.17961210836967323	0.17961210836967323	0.17961210836967323	0.17961210836967323	0.17961210836967323	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22471154987563952	0.22218762433694855	0.22218762433694855	0.22218762433694855	0.22218762433694855	0.22218762433694855	0.22218762433694855	0.22218762433694855	0.22218762433694855	0.017289999352782748	0.017289999352782748	0.017289999352782748	0.027768062480791056	0.027768062480791056	0.027768062480791056	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.046690020791305797	0.075982514770388143	0.075982514770388143	0.075982514770388143	0.075982514770388143	0.075982514770388143	0.075982514770388143	0.075982514770388143	0.075982514770388143	0.075982514770388143	0.075982514770388143	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	0.12753702210329021	-0.015158976829897003	-0.015158976829897003	-0.015158976829897003	-0.015158976829897003	-0.015158976829897003	-0.015158976829897003	-0.015158976829897003	-0.015158976829897003
60000	0.52469945004111085	0.52469945004111085	0.52469945004111085	0.42800625837209633	0.42800625837209633	0.42800625837209633	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.28853946987855356	0.2968034933724733	0.2968034933724733	0.2968034933724733	0.2968034933724733	0.2968034933724733	0.2968034933724733	0.2968034933724733	0.2968034933724733	0.2968034933724733	0.2968034933724733	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.3705452451731861	0.18382610365468124	0.18382610365468124	0.18382610365468124	0.18382610365468124	0.18382610365468124	0.18382610365468124	0.18382610365468124	0.18382610365468124	0.51327682928738383	0.51327682928738383	0.51327682928738383	0.42002160809082068	0.42002160809082068	0.42002160809082068	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.26169336453735853	0.19250283367858051	0.19250283367858051	0.19250283367858051	0.19250283367858051	0.19250283367858051	0.19250283367858051	0.19250283367858051	0.19250283367858051	0.19250283367858051	0.19250283367858051	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.26644395613121263	0.14962548907859036	0.14962548907859036	0.14962548907859036	0.14962548907859036	0.14962548907859036	0.14962548907859036	0.14962548907859036	0.14962548907859036	0.01142262075372702	0.01142262075372702	0.01142262075372702	0.0079846502812756515	0.0079846502812756515	0.0079846502812756515	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.026846105341195026	0.10430065969389279	0.10430065969389279	0.10430065969389279	0.10430065969389279	0.10430065969389279	0.10430065969389279	0.10430065969389279	0.10430065969389279	0.10430065969389279	0.10430065969389279	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.10410128904197347	0.034200614576090888	0.034200614576090888	0.034200614576090888	0.034200614576090888	0.034200614576090888	0.034200614576090888	0.034200614576090888	0.034200614576090888
