taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	PGK-1	unknown.7	
Rhynchomeles prattorum	JF694112									
Echymipera kalubu	AF334776,JF694110	JF912118,AY243386	JF718352,U34682,EU086683	JN413931,AY243420,JF912088	AF025383,FJ159324,JF912108	AF355796,JF912098	JF912129,AY243405	AF044498	JF706361	
Echymipera clara	AF297694,AF297695	JF912116	JF718351	JF912086	JF912106	JF912096	JF912127	AF011231	JF706363	
Echymipera rufescens	JF694111	JF912119,JF912117	JN228213	JF912087	JF912107	JF912097	JF912128	AF011229	JF706362	
