taxon	ND2	ND4	omega-globin	cytb	ApoB	BRCA1	recombination-activating-gene-1	von-Willebrand-factor	interphotoreceptor-retinoid-binding-protein	
Petaurus abidi	GQ323835,GQ323834	GQ323903	GQ323973		GU199269	GU199275	GU199309	GU199315	GU199303	
Petaurus norfolcensis	GQ323868,GQ323867,AF300995	GQ323933,GQ323934,GQ323935	GQ324000,GQ323999	FJ657564,FJ657541,FJ657606	FJ623979	FJ623999	FJ624041	FJ624065	FJ624017	
Petaurus australis	GQ323887,GQ323890,GQ323888	GQ323955,GQ323956,GQ323957	GQ323979,GQ323974							
Petaurus gracilis	GQ323869	GQ323936	GQ324001	HQ284045,HQ284044						
Petaurus breviceps	GQ323837,GQ323859,GQ323861	GQ323904,GQ323922,GQ323937	GQ323995,GQ324021,GQ324024,HM348576	FJ657661,FJ657660,FJ657662	AY243433,JN413938	EU160443	AY243400	AY243417	AY243441	
