taxon	marker	marker.1	marker.2	marker.3	marker.4	
Manis pentadactyla	AY011251	AY011863	AY011919	JN415053	AY011438	
Manis tricuspis	JN633424	JN633792	JN633610	JN415054	JN633735	
Lontra longicaudis	EF987483	EF987937	EF472405	AB564044	EF987567	
Lontra canadensis	EF987481	GU931188	AB285381	AB285391	EF987565	
