"Scientific" "BodyMass.Value" "Trophic_level" "Lifespan"
"Tachyglossus aculeatus" 3025 3 49.5
"Zaglossus attenboroughi" 8532.39 NA NA
"Zaglossus bartoni" 7180 NA NA
"Zaglossus bruijni" 10139.5 3 41.2
"Ornithorhynchus anatinus" 1484.25 3 22.6
"Caluromys philander" 229.25 2 8.9
"Caluromys derbianus" 297 2 8.7
"Caluromys lanatus" 325 2 5
"Caluromysiops irrupta" 250 2 7.833333333
"Glironia venusta" 114 2 NA
"Chironectes minimus" 946 2 3.1
"Didelphis aurita" 1163.99 2 4
"Didelphis imperfecta" 1260.04 NA NA
"Didelphis marsupialis" 1091.16 2 4.2
"Didelphis pernigra" 1260.04 NA NA
"Didelphis virginiana" 2195.48 2 6.6
"Didelphis albiventris" 904 2 1.7
"Gracilinanus formosus" 18.9 NA NA
"Gracilinanus emiliae" 7.6 NA NA
"Gracilinanus microtarsus" 31 NA NA
"Gracilinanus marica" 23.8 NA NA
"Gracilinanus dryas" 18 NA NA
"Gracilinanus aceramarcae" 20.5 NA NA
"Gracilinanus agricolai" 18.9 NA NA
"Gracilinanus agilis" 22 NA 6.1
"Gracilinanus ignitus" 18.9 NA NA
"Hyladelphys kalinowskii" 16.75 NA NA
"Lestodelphys halli" 76 2 NA
"Lutreolina crassicaudata" 537.3 3 2.9
"Marmosa murina" 26 2 3.6
"Marmosa xerophila" 46.2 NA NA
"Marmosa tyleriana" 32.4 NA NA
"Marmosa rubra" 63 NA NA
"Marmosa quichua" 38.23 NA NA
"Marmosa mexicana" 49.45 2 7
"Marmosa lepida" 14 NA NA
"Marmosa andersoni" 47.4 NA NA
"Marmosa robinsoni" 56.67 2 5
"Marmosops handleyi" 30.7 NA NA
"Marmosops juninensis" 31.57 NA NA
"Marmosops pinheiroi" 31.57 NA NA
"Marmosops paulensis" 38.89 NA NA
"Marmosops parvidens" 15 2 NA
"Marmosops noctivagus" 21 NA 4.5
"Marmosops neblina" 31.57 NA NA
"Marmosops bishopi" 19.5 NA NA
"Marmosops impavidus" 40.5 NA NA
"Marmosops incanus" 62.3 2 NA
"Marmosops fuscatus" 60 2 NA
"Marmosops dorothea" 37.5 NA NA
"Marmosops cracens" 25.5 NA NA
"Marmosops invictus" 29.2 2 NA
"Metachirus nudicaudatus" 375 2 3
"Micoureus demerarae" 75.75 3 NA
"Micoureus regina" 118.6 NA NA
"Micoureus paraguayanus" 112.43 3 NA
"Micoureus constantiae" 90 NA NA
"Micoureus alstoni" 132.3 NA NA
"Micoureus phaeus" 103.76 NA NA
"Monodelphis emiliae" 40 3 NA
"Monodelphis osgoodi" 112 3 NA
"Monodelphis umbristriata" 61.54 NA NA
"Monodelphis theresa" 112 3 NA
"Monodelphis sorex" 48 3 NA
"Monodelphis scalops" 741 3 NA
"Monodelphis rubida" 45.5 3 NA
"Monodelphis palliolata" 61.54 NA NA
"Monodelphis unistriata" 55.3 3 NA
"Monodelphis kunsi" 11.3 3 NA
"Monodelphis glirina" 61.54 NA NA
"Monodelphis domestica" 71.4 3 5.1
"Monodelphis dimidiata" 58 2 1
"Monodelphis brevicaudata" 69.63 2 3.9
"Monodelphis americana" 19.5 3 NA
"Monodelphis adusta" 35 2 4.1
"Monodelphis maraxina" 61.57 3 NA
"Monodelphis iheringi" 112 3 NA
"Philander andersoni" 325 NA NA
"Philander opossum" 585.5 2 4.4
"Philander mcilhennyi" 325 NA 2.3
"Philander frenatus" 395.45 NA NA
"Thylamys pusillus" 28.21 NA NA
"Thylamys venustus" 24.41 NA NA
"Thylamys tatei" 24.41 NA NA
"Thylamys sponsorius" 24.41 NA NA
"Thylamys velutinus" 20.7 3 NA
"Thylamys macrurus" 34.43 NA NA
"Thylamys karimii" 24.41 NA NA
"Thylamys cinderella" 24.41 NA NA
"Thylamys elegans" 28.9 2 NA
"Thylamys pallidior" 14.9 NA NA
"Tlacuatzin canescens" 47.73 NA NA
"Caenolestes caniventer" 40 2 NA
"Caenolestes condorensis" 47.81 3 NA
"Caenolestes convelatus" 40 3 NA
"Caenolestes fuliginosus" 27.8 2 NA
"Lestoros inca" 21.1 3 NA
"Rhyncholestes raphanurus" 21 2 NA
"Dromiciops gliroides" 22.3 2 3.2
"Notoryctes caurinus" 34 NA NA
"Notoryctes typhlops" 55 2 1.5
"Myrmecobius fasciatus" 471.5 3 11
"Dasycercus cristicauda" 100 3 7.4
"Dasykaluta rosamondae" 28.75 NA 3
"Dasyuroides byrnei" 109.47 3 8
"Dasyurus spartacus" 885.67 2 NA
"Dasyurus albopunctatus" 637 2 3
"Dasyurus viverrinus" 1090 2 6.8
"Dasyurus geoffroii" 1100 3 6.2
"Dasyurus maculatus" 5500 2 6.8
"Dasyurus hallucatus" 525 NA 5.9
"Myoictis melas" 200 NA NA
"Myoictis wallacii" 200 NA NA
"Neophascogale lorentzi" 212 NA NA
"Parantechinus apicalis" 68.75 2 5.5
"Phascolosorex doriae" 168.31 2 NA
"Phascolosorex dorsalis" 138.5 2 NA
"Pseudantechinus bilarni" 23.05 NA 3
"Pseudantechinus woolleyae" 40 NA 4
"Pseudantechinus roryi" 25.06 NA NA
"Pseudantechinus ningbing" 20 NA 2
"Pseudantechinus macdonnellensis" 32.5 NA 7
"Pseudantechinus mimulus" 16.5 NA NA
"Sarcophilus harrisii" 10000 3 13
"Antechinus leo" 74 NA 2
"Antechinus subtropicus" 59.5 NA NA
"Antechinus stuartii" 27.5 2 5.4
"Antechinus minimus" 53.5 NA 2
"Antechinus flavipes" 45 NA 3.9
"Antechinus bellus" 44.5 NA 3.4
"Antechinus agilis" 22.13 NA 4.7
"Antechinus adustus" 36 NA NA
"Antechinus swainsonii" 53 2 3.3
"Antechinus godmani" 76.5 NA NA
"Micromurexia habbema" 46.97 NA NA
"Murexechinus melanurus" 38.02 3 NA
"Murexia longicaudata" 335.83 3 NA
"Paramurexia rothschildi" 53.77 3 NA
"Phascomurexia naso" 52.62 3 NA
"Phascogale calura" 51.5 2 4.7
"Phascogale tapoatafa" 193.5 NA 5.9
"Antechinomys laniger" 25.57 NA 3.5
"Ningaui yvonnae" 7 NA NA
"Ningaui ridei" 8.5 NA 2
"Ningaui timealeyi" 5.7 NA 2
"Sminthopsis griseoventer" 17.5 NA 3.6
"Sminthopsis virginiae" 35.25 3 5.3
"Sminthopsis psammophila" 33.5 3 5
"Sminthopsis ooldea" 11 NA 3
"Sminthopsis murina" 17 NA 2
"Sminthopsis macroura" 20 NA 4.9
"Sminthopsis longicaudata" 18 3 5
"Sminthopsis leucopus" 26 NA 2.5
"Sminthopsis douglasi" 55 3 NA
"Sminthopsis hirtipes" 15 NA NA
"Sminthopsis youngsoni" 10.1 NA 5.3
"Sminthopsis fuliginosus" 19.89 NA NA
"Sminthopsis dolichura" 13.6 NA 3.17
"Sminthopsis crassicaudata" 15 3 5
"Sminthopsis butleri" 25 NA NA
"Sminthopsis boullangerensis" 19.89 NA NA
