taxon	12S-ribosomal-RNA	cytb	cytochrome-B	thyrotropin-beta-subunit	MGF	PRKC1	beta-spectrin	thyroglobulin	
Pronolagus crassicaudatus	U31044,U31045,AY292714	U31035,U31034,AY292738	U31034,U31035	AY292688	AY292764	AY292791	AY292832	AY292859	
Pronolagus saundersiae	AY292712	AY292736		AY292686	AY292762	AY292789	AY292830	AY292857	
Pronolagus randensis	U31046,U31047,AY292713	U31038,U31037,AY292737	U31038,U31037	AY292687	AY292763	AY292790	AY292831	AY292858	
Pronolagus rupestris	U31048,U31051,U31050	AY292735,U31040,U31039	U31041,U31039,U31040	AY292685	AY292761	AY292788	AY292829	AY292856	
