taxon	cytochrome-b	TYR	BRCA1	EDNRB	unknown	GPR33	CYTB	interferon-gamma	TNF-alpha	12S-ribosomal-RNA	CD44	
Hippidion devillei					GQ324602							
Coelodonta antiquitatis							GU371440			AY178629		
Hippidion saldiasi	AY152860				GQ324596							
Rhinoceros sondaicus							AJ245725			AJ245724		
Camelus dromedarius						AY490676		HM051108	HM051109		EU041912	
Camelus bactrianus						AY490679		AB107657	AB178886		EU041913	
Dicerorhinus sumatrensis		JF718841	JF718858	JF718892			JF718875			AJ245722		
Tapirus terrestris		JF718845	JF718862	JF718896			GQ259952				EU041903	
Rhinoceros unicornis		JF718843	JF718860	JF718894	JF825400		JF718877	EU000435		AY739618		
Diceros bicornis		JF718842	JF718859	JF718893	AF187832		EU107377			AJ404858		
Ceratotherium simum		HQ826961	JF718857	JF718891		AY490694	JF718874	DQ305037		X86942		
Tapirus indicus	JQ812114	JF718847	JF718864	JF718898			JF718881				EU041902	
Equus asinus		JF718850	JF718867	JF718901	DQ448939		FJ428407	AF055341			EU366978	
Equus caballus		JF718848	JF718865	JF718899	HM802281	AY490690	EU433672	EU000433			EU366979	
