time	diversity	m_div	M_div	median_genus_age	m_age	M_age	turnover	m_turnover	M_turnover	life_exp	m_life_exp	M_life_exp	
19	0.0	0	0	NA	NA	NA	1.0	1	1	NA	NA	NA
18	3.0	3	3	0.830862312735	0.830862312735	0.830862312735	1.0	1.0	1.0	19.5261019822	19.5261019822	19.5261019822
17	3.0	3	3	1.83086231273	1.83086231273	1.83086231273	0.0	0.0	0.0	18.6067100706	18.6067100706	18.6067100706
16	5.0	5	5	2.26753553263	2.26753553263	2.26753553263	0.4	0.4	0.4	8.82577142899	8.82577142899	8.82577142899
15	6.0	6	6	2.34694545521	2.34694545521	2.34694545521	0.166666666667	0.166666666667	0.166666666667	7.02250972498	7.02250972498	7.02250972498
14	6.0	6	6	3.34694545521	3.34694545521	3.34694545521	0.166666666667	0.166666666667	0.166666666667	6.02250972498	6.02250972498	6.02250972498
13	5.0	5	5	5.26753553263	5.26753553263	5.26753553263	0.2	0.2	0.2	5.82577142899	5.82577142899	5.82577142899
12	6.0	6	6	5.34694545521	5.34694545521	5.34694545521	0.166666666667	0.166666666667	0.166666666667	5.88310532123	5.88310532123	5.88310532123
11	7.0	7	7	5.42635537778	5.42635537778	5.42635537778	0.142857142857	0.142857142857	0.142857142857	3.82577142899	3.82577142899	3.82577142899
10	8.0	8	8	4.25750454461	4.25750454461	4.25750454461	0.375	0.375	0.375	2.54637175086	2.54637175086	2.54637175086
9	10.0	10	10	2.43651630255	2.43651630255	2.43651630255	0.4	0.4	0.4	1.19874642664	1.19874642664	1.19874642664
8	9.0	9	9	4.08865371144	4.08865371144	4.08865371144	0.222222222222	0.222222222222	0.222222222222	0.825771428991	0.825771428991	0.825771428991
7	8.0	8	8	4.43651630255	4.43651630255	4.43651630255	0.0	0.0	0.0	0.739764495639	0.739764495639	0.739764495639
6	5.0	5	5	6.08865371144	6.08865371144	6.08865371144	0.2	0.2	0.2	0.94043921347	0.94043921347	0.94043921347
5	17.0	17	17	0.636561649297	0.636561649297	0.636561649297	0.764705882353	0.764705882353	0.764705882353	5.1030149562	5.1030149562	5.1030149562
4	22.0	22	22	1.25433728217	1.25433728217	1.25433728217	0.409090909091	0.409090909091	0.409090909091	4.55282991837	4.55282991837	4.55282991837
3	35.0	35	35	1.17105634218	1.17105634218	1.17105634218	0.485714285714	0.485714285714	0.485714285714	4.07188558238	4.07188558238	4.07188558238
2	60.0	60	60	1.12027597193	1.12027597193	1.12027597193	0.45	0.45	0.45	3.30915697209	3.30915697209	3.30915697209
1	73.0	73	73	1.829507863	1.829507863	1.829507863	0.219178082192	0.219178082192	0.219178082192	2.27542321151	2.27542321151	2.27542321151
0	88.0	88	88	2.64024239288	2.64024239288	2.64024239288	0.204545454545	0.204545454545	0.204545454545	1.49197797474	1.49197797474	1.49197797474
