taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	
Catopuma badia	DQ082226	DQ082269	DQ082359	DQ082404	DQ082449	DQ082575	DQ082664	AF006435	DQ086460	DQ082619	
Prionailurus rubiginosa	DQ082205	DQ082248	DQ082338	DQ082383	DQ082428	DQ082554	DQ082643	AF006445	DQ086457	DQ082598	
Profelis aurata	DQ082217	DQ082260	DQ082350	DQ082395	DQ082440	DQ082566	DQ082655	AF006433	DQ086453	DQ082610	
Felis margarita	DQ082201	DQ082244	DQ082334	DQ082379	DQ082424	DQ082550	DQ082639	AF006397	DQ086434	DQ082594	
Prionailurus viverrinus	DQ082207	DQ082250	DQ082340	DQ082385	DQ082430	DQ082556	DQ082645	AF006451	DQ086451	DQ082600	
Leptailurus serval	DQ082218	DQ082261	DQ082351	DQ082396	DQ082441	DQ082567	DQ082656	AF006419	DQ086455	DQ082611	
Felis chaus	DQ082202	DQ082245	DQ082335	DQ082380	DQ082425	DQ082551	DQ082640	AF006393	DQ086432	DQ082595	
Herpailurus yaguarondi	DQ082210	DQ082253	DQ082343	DQ082388	DQ082433	DQ082559	DQ082648	AF241812	DQ086445	DQ082603	
Caracal caracal	DQ082216	DQ082259	DQ082349	DQ082394	DQ082439	DQ082565	DQ082654	AF006389	DQ086452	DQ082609	
Leopardus tigrinus	DQ082225	DQ082268	DQ082358	DQ082403	DQ082448	DQ082574	DQ082663	AF006421	DQ086426	DQ082618	
Otocolobus manul	DQ082204	DQ082247	DQ082337	DQ082382	DQ082427	DQ082553	DQ082642	AF006431	DQ086458	DQ082597	
Catopuma temminckii	DQ082227	DQ082270	DQ082360	DQ082405	DQ082450	DQ082576	DQ082665	AF006447	DQ086454	DQ082620	
Lynx rufus	DQ082215	DQ082258	DQ082348	DQ082393	DQ082438	DQ082564	DQ082653	AY499296	DQ086446	DQ082608	
Puma concolor	DQ082209	DQ082252	DQ082342	DQ082387	DQ082432	DQ082558	DQ082647	AF241852	DQ086443	DQ082602	
Lynx lynx	DQ082213	DQ082256	DQ082346	DQ082391	DQ082436	DQ082562	DQ082651	AY499291	DQ086448	DQ082606	
Leopardus pardalis	DQ082219	DQ082262	DQ082352	DQ082397	DQ082442	DQ082568	DQ082657	AF006415	DQ086425	DQ082612	
