taxon	cytochrome-b	DRB	unknown	Phsi	actin	cox1	16S-ribosomal-RNA	BDNF	
Phocoenoides dalli	U09678,EU121108,U09679	EU698954,EU698955,EU698956	JX477605,JX475427,AF262294	EU698983,EU698984	EU121223,EU121224		JF504729	AY954643	
Phocoena spinipinnis	U13144,HM572306,U09676	DQ914415,DQ914417,DQ914416	U09708,DQ022940,DQ022941			EU496317	Z18659		
Phocoena phocoena	U72039,X92533	EU698959,EU698958,EU698960		EU698985,EU698986	EU121226,EF092971,EU121225	EU496315,EU139292,EU139291	AB481401,Z18657,U13121	JF701631,JN414114,AY954642	
Phocoena dioptrica	U09681,EF093009		JQ599399,U09695,EF092925		EF092970				
Phocoena sinus	U09677,HM222714,AF084051	DQ914414,DQ914413,AY170897		AY170894,AY170891,AY170896		EU496314			
