taxon	cytb	12S-ribosomal-RNA	BRCA1	ApoB	Rag1	
Bettongia gaimardi	AY237244	AY245619	FJ603168	FJ603144	FJ603223	
Bettongia lesueur	AY237242	AY245620				
Bettongia tropica	AY237237,AY237236	AY245618		JX104618	JX104593	
Bettongia penicillata	AY237239,AY237238	AY245612	DQ354445,FJ603169	FJ603145	FJ603224	
