taxon	12S-ribosomal-RNA	omega-globin	ND4	cytochrome-b	ND2	trnV	beta-fibrinogen	interphotoreceptor-retinoid-binding-protein	control-region;-domain-I	embryonic-globin	protamine-P1	
Petaurus australis		GQ323979	GQ323955		GQ323890							
Planigale tenuirostris	AF001944			U07591					AF088959		AF001594	
Myoictis leucura	AY609359			AY609366		AY609373				AY609377		
Thylacinus cynocephalus	U87405			M99452				EU091365			U87140	
Phascomurexia naso						EF011640	EF025053	EF028745	EF032338			
Antechinus agilis				DQ842125		EF011637	EF025050	EF028742	EF032335			
Myoictis wallacei	AF009887			AY609368			AY531246	AY532676		AY609378	AF010269	
Micromurexia habbema	AF038313			U07576		EF011638	EF025051	EF028743	EF032336		AF038300	
Murexchinus melanurus	AF038312			U07577		EF011639	EF025052	EF028744	EF032337		AF038299	
Dasykaluta rosamondae				M99456		AY528907	AY531239	AY532669		EU086621	L35325	
Dasyuroides byrnei	AF009888			U07579		AY528915	AY531247	AY532677		AY609379	AF010271	
Pseudantechinus ningbing	AF009896			U07592		AY528912	AY531244	AY532674		EU086629	AF010278	
Pseudantechinus woolleyae	AF009883			U07593		AY528910	AY531242	AY532672		EU086630	AF010279	
Ningaui yvonnae	AF001938			U07587		JQ413967	JQ599246	JQ687055	AF088958		AF001589	
Ningaui timealeyi	AF001939			AF001584		JQ413969	JQ599248	JQ687057	AF088957		AF001590	
Antechinomys laniger	AF001936			AF001583		JQ413947	JQ599227	JQ687036	AF088936		AF001587	
Neophascogale lorentzii	AF009894			U07585		AY528924	AY531257	AY532687		EU091370	AF010267	
Phascogale calura	AF038316			U22430		EF011642	EF025055	EF028747	EF032342		AF038303	
Dasycercus cristicauda	AF009889			EU086670		AY528916	AY531248	AY532678	JN704384	EU086624	AF010270	
Sminthopsis dolichura	AF088964					JQ413961	JQ599240	JQ687049	JN714270		AF089874	
Sminthopsis griseoventer	AF088968					JQ413964	JQ599243	JQ687052	JN714263		AF089878	
Parantechinus apicalis	U87403			M99457		AY528908	AY531240	AY532670	AY168272	EU086622	L35326	
Paramurexia rothschildi	AF038315			U07583		EF011641	EF025054	EF028746	EF032340		AF038302	
Planigale gilesi	AF001943			U07589		JQ413972	JQ599251	JQ687059	AF059272		AF001593	
Dasyurus hallucatus	U87400			M99460		AY528917	AY531249	AY532679	JQ979248	EU091366	L35341	
Antechinus swainsonii	U87398			M99453		AY528904	AY531236	AY532666	EF032330	EU086619	AF038291	
Petaurus norfolcensis		GQ324000	GQ323933	FJ657606	GQ323867			FJ624017				
Phascolosorex dorsalis	AY536433			AY533831		AY528923	AY531256	AY532686		EU091369	L35339	
Sarcophilus harrisii	U87402			M99465		AY528922	AY531255	AY532685	AF157094	EU091368	L35324	
Murexia longicaudata	AF038015			M99455		AY528905	AY531237	FJ159325	EF032339	EU086618	L35336	
Phascogale tapoatafa	U33497			M99459		AY528906	AY531238	AY532668	EF032341		L35327	
Dasyurus albopunctatus	AF009890			U07580		AF166349	AY531251	AY532681	AF157095		AF010272	
Myrmecobius fasciatus	U87404			U82329		EF011645	EF025058	EF028750			U87139	
