taxon	12S-ribosomal-RNA	cytb	Rag1	ApoB	
Potorous platyops	AY245621	AY237247			
Potorous tridactylus	AY245617		FJ603246	FJ603164	
Potorous longipes	AY245614,AY245624,JX104631	AY237248,AY237232,AY237233	JX104592,FJ603245	FJ603163,JX104617	
Potorous gilbertii	AY245616,JX104630	AY237230,AY237231	JX104591	JX104616	
