taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	
Anathana ellioti			AY862169				JF795296		
Dendrogale melanura			AY862167				JF795293	AY321634	
Dendrogale murina	FJ554909	FJ554953	AY862168	FJ554931	FJ554975	FJ554887	JF795295		
Tupaia belangeri	FJ554914	FJ554957	AY862172	FJ554935	FJ554977	FJ554888	JF795297	EU531763	
Urogale everetti	FJ554930	FJ554974	AY862184	FJ554952	FJ554996	FJ554908	JF795323		
Ptilocercus lowii	EU142168	EU142216	AY862166	EU142184	EU142190	EU142162			
Cynocephalus volans	HM763073	HM757456		AF535065	AF535076	AF535048			
Galeopterus variegatus	AY011656	HM757455		HM759751	HM758833	AY011474			
Tupaia minor	HM763163	FJ554965	AY012129	HM759839	FJ554987	FJ554899	JF795314		
