taxon	cytochrome-b	DRB	cytb	Phsi	actin	cox1	16S-ribosomal-RNA	BDNF	
Phocoena dioptrica	EF093009,U09681		JQ599399,EF092925,U09695		EF092970				
Phocoena phocoena	U72039,X92533	EU698959,EU698958,EU698960		EU698985,EU698986	EU121225,EF092971,EU121226	EU496315,EU139291,EU139292	AB481401,U13121,Z18657	JF701631,JN414114,AY954642	
Phocoena spinipinnis	U13144,U09676,HM572306	DQ914417,DQ914416,DQ914415	DQ022941,DQ022940,U09708			EU496317	Z18659		
Phocoenoides dalli	U09679,U09678,EU121108	EU698954,EU698955,EU698956	JX477605,JX475427,AF262294	EU698983,EU698984	EU121223,EU121224		JF504729	AY954643	
Phocoena sinus	U09677,AF084051,HM222714	DQ914414,DQ914413,AY170897		AY170894,AY170891,AY170896		EU496314			
