taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	
Isoodon auratus	AY644376,AY644377,AY644378	JF912089	JF912099	JF912109	JF912130	JF912120	
Isoodon macrourus	AY644351,AY644353,AY644357	JN413934,EU160446	EU160441	EU160450	EU160456	EU160453	
Isoodon obesulus	AY644381,AY644375,AY644373	JF912090	DQ354447	JF912110	JF912131	JF912121	
Macrotis lagotis		JN413936,EU369354	EU369359	EU369364	EU369371		
