taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	
Camelus ferus					FJ792685									
Bubalus depressicornis						FJ773314	D88640	JX862178	JX862112					
Vicugna vicugna	EU195435	DQ534056	AF373812	DQ539400			U06430							
Bubalus carabanensis							JQ394867			AB246271	AB246274	AB246276	AB246785	
Lama guanicoe	EU195434	DQ534053	AF373818	DQ539397	EF197381		U06428	U53890						
Vicugna pacos	EU195432	DQ534055	AF373833	DQ539399	AY856147	FJ847233	AY839860							
Camelus dromedarius							X56281			HM051105	HM051108	JQ917916	HM051109	
Camelus bactrianus					FJ792680	AB495001	AY126625			AB246671	AB107657	AB246674	AB178886	
Lama glama	EU195433	DQ534054	AF373820	DQ539398	AY856144				AF165622	AB107651	AB107652	AB107649	AB107646	
