taxon	NADH2	BRCA1	Rag1	APOB	IRBP	12S-ribosomal-RNA	VWF	
Cercartetus concinnus	AF425975,AY135182,AY135181	GU566715	GU566721	GU566712	GU566718		GU566724	
Cercartetus nanus	AF425977,AY135178	EU160440	EU160452	EU160445	EU160449	JN255346	EU160455	
Cercartetus caudatus	AY135177					U21168		
Cercartetus lepidus	AF425976,AY135179,AY135180	FJ623993	FJ624033	FJ623971	FJ624009	JN255347	FJ624057	
