ORDERS	Artiodactyla	Afrotheria	Carnivora	Cetaceae
GENUS	Hippopotamidae	Rhynchocyon	Lontra	Eubalaena
	Hexaprotodon	Oryzorictes	Lynx	Lagenorhynchus
		Loxodonta	Genetta	Delphius
				
ORDERS	Chiroptera	Dermoptera	Perissodactyla	Pholidota
GENUS	Macroglossus	Cynocephalus	Equus	Manis
	Lophostoma	Galeopterus	Diceros	
	Pteronotus		Tapirus	
				
ORDERS	Peramelemorphia	Insectivora	Lagomorpha	Marsupialia
GENUS	Perameles	Mogera	Sylvilagus	Caenolestes
	Isoodon	Crosidura	Ochotona	Petaurus
	Echymipera	Sorex	Lepus	Lasiorhinus
				
ORDERS	Primates	Rodentia *	Scadentia	Xenarthra
GENUS	Callicebus	ctenodactylus	Dendrogale	Chaetophractus
	Macaca	Bathyergus	Tupaia	Choloepus
		Proechimys		Priodontes
OUTGROUP	Monotremata			
	Tachyglossus			
	Ornithirhynchus			
