taxon	cyt-b	COI	COI.1	IRBP	12S-rRNA	RAG1	BRCA1	VWF	DMP1	ttr	
Marmosops noctivagus	AJ606421	JF444320,EU095431	EU095431,JF444320	AF257700,AF257699,AF257676	AJ628380	DQ865904	FJ159300	FJ159350	DQ083142	AJ628399	
Marmosops pinheiroi	AJ606430,AJ606432,AJ606431	JF457808,JF459192,JF459193	JF459193,JF459192,EU095434		AJ628382	DQ865906	FJ159302	FJ159352	DQ083144	AJ628401	
Marmosops parvidens	AJ606427,AJ487007,AJ606424,AJ487008	JQ601156,JF457806,EU095432	JQ601156,JQ599990,EU095432	AF257677,AF257680	AJ628381	DQ865905	FJ159301	FJ159351	DQ083143	AJ628400	
Marmosops incanus	GU112903,GU112906,GU112901	JQ030956,JQ030932,GU112814	JQ030943,JQ030945,JQ030975	AY233784,AY233785		DQ865903	FJ159299	FJ159349	DQ083141		
Marmosops impavidus	AJ606422,U34669,U34670			AF257698,AF257695	AJ628379	DQ865902	FJ159298	FJ159348	DQ083140	AJ628398	
Marmosops invictus		JF444319,EU095426									
Marmosops dorothea					AF128234						
