species	order_pbdb	order_now	fam_pbdb	fam_now	genus	species	occ_pbdb	occ_now
Miopetaurista gibberosa	rodentia	rodentia	sciuridae	pteromyidae	miopetaurista	gibberosa	2	4
Stenomylus hitchcocki	artiodactyla	NA	camelidae	NA	stenomylus	hitchcocki	4	NA
Belomys NA	NA	rodentia	NA	sciuridae	belomys	NA	NA	1
Kowalskia gansunica	rodentia	rodentia	cricetidae	muridae	kowalskia	gansunica	1	1
Propliopithecus ankeli	primates	primates	propliopithecidae	findout	propliopithecus	ankeli	1	2
Gryphoca similis	carnivora	NA	phocidae	NA	gryphoca	similis	5	NA
Naranius americanus	cimolesta	NA	cimolestidae	NA	naranius	americanus	1	NA
Parectypodus vanvaleni	multituberculata	NA	neoplagiaulacidae	NA	parectypodus	vanvaleni	1	NA
Palaeotherium NA	NA	perissodactyla	NA	palaeotheriidae	palaeotherium	NA	NA	1
Orientolophus hengdongensis	perissodactyla	NA	NA	NA	orientolophus	hengdongensis	1	NA
Walangania africanus	NA	artiodactyla	NA	cervoidea	walangania	africanus	NA	45
Dinocrocuta NA	NA	carnivora	NA	percrocutidae	dinocrocuta	NA	NA	4
Paratalpa meyeri	lipotyphla	eulipotyphla	talpidae	talpidae	paratalpa	meyeri	3	6
Idiorophus bolzanensis	cetacea	NA	physeteridae	NA	idiorophus	bolzanensis	2	NA
Squalodon whitmorei	cetacea	NA	squalodontidae	NA	squalodon	whitmorei	5	NA
Petaurista petaurista	NA	rodentia	NA	sciuridae	petaurista	petaurista	NA	1
Xotodon doellojuradi	notoungulata	NA	toxodontidae	NA	xotodon	doellojuradi	1	NA
Eucladoceros tetraceros	NA	artiodactyla	NA	cervidae	eucladoceros	tetraceros	NA	1
Thylacodon pusillus	NA	NA	herpetotheriidae	NA	thylacodon	pusillus	17	NA
Lusorex taishanensis	NA	eulipotyphla	heterosoricidae	soricidae	lusorex	taishanensis	1	1
Archaeodesmana turolense	lipotyphla	eulipotyphla	talpidae	talpidae	archaeodesmana	turolense	4	3
Chapattimys wilsoni	rodentia	rodentia	chapattimyidae	chapattimyidae	chapattimys	wilsoni	5	3
Glirodon grandis	multituberculata	NA	NA	NA	glirodon	grandis	2	NA
Parazhelestes robustus	NA	NA	zhelestidae	NA	parazhelestes	robustus	3	NA
Thisbemys medius	rodentia	NA	ischyromyidae	NA	thisbemys	medius	2	NA
Myrmecoboides montanensis	NA	NA	leptictidae	NA	myrmecoboides	montanensis	5	NA
Pliopetaurista bressana	NA	rodentia	NA	pteromyidae	pliopetaurista	bressana	NA	16
Tenudomys basilaris	rodentia	NA	geomyidae	NA	tenudomys	basilaris	1	NA
Tatera pinjoricus	NA	rodentia	NA	muridae	tatera	pinjoricus	NA	1
Apatemys bellulus	insectivora	NA	apatemyidae	NA	apatemys	bellulus	23	NA
Tricuspes sigogneauae	NA	NA	NA	NA	tricuspes	sigogneauae	1	NA
Cervavitus sarmaticus	NA	artiodactyla	NA	cervidae	cervavitus	sarmaticus	NA	1
Paratragocerus caucasicus	NA	artiodactyla	NA	bovidae	paratragocerus	caucasicus	NA	3
Platyphoca vulgaris	carnivora	NA	phocidae	NA	platyphoca	vulgaris	3	NA
Hibbardomys marthae	rodentia	NA	cricetidae	NA	hibbardomys	marthae	6	NA
Aaptoryctes ivyi	NA	NA	palaeoryctidae	NA	aaptoryctes	ivyi	3	NA
Desmagale pannonica	NA	eulipotyphla	NA	talpidae	desmagale	pannonica	NA	1
Eucladoceros proboulei	NA	artiodactyla	NA	cervidae	eucladoceros	proboulei	NA	2
Gazella soriae	NA	artiodactyla	NA	bovidae	gazella	soriae	NA	1
Prolagostomus profluens	rodentia	rodentia	chinchillidae	chinchillidae	prolagostomus	profluens	1	1
Quercygale angustidens	NA	NA	NA	NA	quercygale	angustidens	3	NA
Lakotalestes luoi	NA	NA	dryolestidae	NA	lakotalestes	luoi	2	NA
Mormopterus nonghenensis	NA	chiroptera	NA	molossidae	mormopterus	nonghenensis	NA	1
Anthracotherium bugtiense	artiodactyla	artiodactyla	anthracotheriidae	anthracotheriidae	anthracotherium	bugtiense	2	1
Silvaroo bila	diprotodontia	NA	macropodidae	NA	silvaroo	bila	1	NA
Perchoerus nanus	artiodactyla	NA	tayassuidae	NA	perchoerus	nanus	4	NA
Vespertilio sinensis	NA	chiroptera	NA	vespertilionidae	vespertilio	sinensis	NA	1
Tribosphenomys minutus	rodentia	rodentia	alagomyidae	alagomyidae	tribosphenomys	minutus	2	1
Choneziphius leidyi	cetacea	NA	ziphiidae	NA	choneziphius	leidyi	1	NA
Anthracokeryx birmanicus	artiodactyla	NA	anthracotheriidae	NA	anthracokeryx	birmanicus	4	NA
Chlororhysis incomptus	primates	NA	omomyidae	NA	chlororhysis	incomptus	1	NA
Sorex hoyi	NA	NA	soricidae	NA	sorex	hoyi	17	NA
Scraeva hatherwoodensis	NA	NA	nyctitheriidae	NA	scraeva	hatherwoodensis	1	NA
Afrocricetodon NA	NA	rodentia	NA	muridae	afrocricetodon	NA	NA	1
Pseudaelurus turnauensis	carnivora	NA	felidae	NA	pseudaelurus	turnauensis	3	NA
Oioceros atropatenes	NA	artiodactyla	NA	bovidae	oioceros	atropatenes	NA	24
Notochoerus euilus	NA	artiodactyla	NA	suidae	notochoerus	euilus	NA	31
Cimolomys milliensis	multituberculata	NA	cimolomyidae	NA	cimolomys	milliensis	1	NA
Melogale NA	NA	carnivora	NA	mustelidae	melogale	NA	NA	1
Pachycynodon tedfordi	carnivora	carnivora	ursidae	ursidae	pachycynodon	tedfordi	1	1
Paratoceras wardi	artiodactyla	NA	protoceratidae	NA	paratoceras	wardi	3	NA
Dorcadoryx triquetricornis	NA	artiodactyla	NA	bovidae	dorcadoryx	triquetricornis	NA	6
Squalodon dalpiazi	cetacea	NA	squalodontidae	NA	squalodon	dalpiazi	2	NA
Anchistodelphys archibaldi	NA	NA	NA	NA	anchistodelphys	archibaldi	3	NA
Microsyops annectens	primates	NA	microsyopidae	NA	microsyops	annectens	13	NA
Gobiohyus robustus	NA	NA	NA	NA	gobiohyus	robustus	1	NA
Leptobos syrticus	NA	artiodactyla	NA	bovidae	leptobos	syrticus	NA	1
Sthenodectes incisivum	perissodactyla	NA	brontotheriidae	NA	sthenodectes	incisivum	2	NA
Sansanosmilus palmidens	NA	carnivora	NA	barbourofelidae	sansanosmilus	palmidens	NA	4
Phlaocyon latidens	carnivora	NA	canidae	NA	phlaocyon	latidens	3	NA
Lavanify miolaka	NA	NA	sudamericidae	NA	lavanify	miolaka	2	NA
Eggysodon osborni	perissodactyla	perissodactyla	eggysodontidae	hyracodontidae	eggysodon	osborni	1	1
Yuruatherium tropicalis	cingulata	NA	NA	NA	yuruatherium	tropicalis	1	NA
Paradjidaumo reynoldsi	rodentia	NA	eomyidae	NA	paradjidaumo	reynoldsi	1	NA
Proviverra edingeri	NA	creodonta	NA	hyaenodontidae	proviverra	edingeri	NA	1
Lynx shansius	NA	carnivora	NA	felidae	lynx	shansius	NA	6
Sciurus alleni	rodentia	NA	sciuridae	NA	sciurus	alleni	1	NA
Phenacomys intermedius	rodentia	NA	cricetidae	NA	phenacomys	intermedius	24	NA
Pilchenia antiqua	paucituberculata	NA	caenolestidae	NA	pilchenia	antiqua	1	NA
Hipparion teihardi	NA	perissodactyla	NA	equidae	hipparion	teihardi	NA	2
Hyaenictis bosei	NA	carnivora	NA	hyaenidae	hyaenictis	bosei	NA	1
Megalotragus isaaci	NA	artiodactyla	NA	bovidae	megalotragus	isaaci	NA	2
Margaritamys llulli	NA	rodentia	NA	gliridae	margaritamys	llulli	NA	1
Lagomeryx triacuminatus	NA	artiodactyla	NA	cervidae	lagomeryx	triacuminatus	NA	3
Euthlastus cordiformis	NA	NA	paurodontidae	NA	euthlastus	cordiformis	2	NA
Pseudobellatona relicta	NA	lagomorpha	NA	ochotonidae	pseudobellatona	relicta	NA	1
Tetramerorhinus prosistens	litopterna	NA	proterotheriidae	NA	tetramerorhinus	prosistens	5	NA
Merychyus elegans	artiodactyla	NA	merycoidodontidae	NA	merychyus	elegans	35	NA
Orycteropus gaudryi	tubulidentata	tubulidentata	orycteropodidae	orycteropodidae	orycteropus	gaudryi	10	17
Batavipusa neerlandica	carnivora	NA	phocidae	NA	batavipusa	neerlandica	3	NA
Myaingtherium kenyapotamoides	artiodactyla	NA	anthracotheriidae	NA	myaingtherium	kenyapotamoides	2	NA
Brachycrus vaughani	artiodactyla	NA	merycoidodontidae	NA	brachycrus	vaughani	4	NA
Desmanella rietscheli	lipotyphla	eulipotyphla	talpidae	talpidae	desmanella	rietscheli	7	9
